168,50.308,2.8194
113,10.333,1.6399
111,9.9154,2.4947
165,49.368,3.1227
117,49.264,2.4659
128,32.46,3.2443
62,49.264,1.8833
55,9.811,1.3607
115,3.7574,3.4755
53,34.443,3.0803
30,17.013,1.8254
63,45.193,1.7943
88,27.137,2.5841
177,37.574,0.53065
107,35.904,4.3061
115,17.535,3.2625
136,42.688,1.1368
145,47.281,2.2199
198,12.629,4.6502
38,28.598,3.6279
114,26.093,2.6677
18,27.867,3.4395
24,33.504,2.4796
151,33.295,1.2804
73,49.89,3.5869
138,43.106,3.8216
64,6.2624,4.578
43,30.268,1.6818
156,35.174,1.5787
6,5.1143,0.26714
18,24.006,3.0225
22,16.386,1.453
166,39.14,2.9664
47,41.436,3.3153
190,1.2525,2.5514
4,25.989,3.6632
121,19.413,3.4828
167,4.5924,3.2287
17,18.056,3.6829
50,14.403,2.8874
85,41.853,4.6195
52,39.14,4.4383
121,38.618,2.599
54,21.71,1.2641
112,30.79,4.6713
93,17.326,2.5131
166,44.88,3.6872
21,19.205,4.3737
39,41.749,2.5557
32,52.082,4.7209
40,36.844,2.3665
114,49.159,4.5938
4,28.181,4.8145
107,48.742,0.30067
26,26.406,3.6772
57,22.649,2.3837
22,1.5656,1.9807
24,13.986,1.3884
23,15.969,1.2299
15,42.062,3.5989
13,44.985,3.0953
187,25.676,3.5622
41,10.959,1.6779
105,47.698,1.7279
44,8.5586,4.9204
139,46.655,3.4942
7,22.753,2.3085
82,19.309,4.0133
144,4.9055,2.2711
50,39.975,2.8351
74,12.316,4.5307
192,41.018,1.4246
174,51.247,4.3539
183,39.035,0.81597
142,8.5586,1.3374
119,7.7236,1.2069
23,47.698,4.4174
92,40.288,2.4363
87,4.488,1.4916
33,17.535,2.5442
165,26.406,2.4319
9,2.6093,4.3092
196,39.453,3.4596
189,6.0536,0.3744
169,25.467,3.8574
140,8.7673,0.66041
136,50.516,1.2969
115,46.863,4.2508
141,29.329,1.9592
189,34.86,1.3694
44,11.585,3.0376
11,27.867,0.62638
127,23.588,3.728
43,22.962,3.7385
162,13.986,4.4219
10,11.585,4.2077
77,27.554,1.1286
43,36.53,1.7395
77,29.642,3.9009
37,51.456,2.8709
111,22.649,0.92454
33,51.56,1.9622
90,49.055,1.3264
126,52.291,1.1735
118,49.577,3.6389
17,48.325,0.72149
5,16.386,2.57
108,39.662,1.2939
13,47.698,0.33805
15,26.406,1.4613
175,19.413,4.449
134,46.446,4.3533
154,10.959,3.732
181,6.993,0.5142
94,46.341,3.9017
169,40.914,4.6086
45,40.079,1.8263
42,49.89,1.4411
33,5.8449,4.6768
43,21.292,4.5998
36,50.203,0.33806
12,50.829,2.8257
58,23.171,3.5726
2,3.3399,4.3156
115,34.025,2.1192
75,25.049,4.7097
161,47.385,2.6302
116,1.8787,2.029
196,45.82,0.92553
55,13.568,2.6494
136,11.794,1.8373
8,15.552,4.3281
25,37.783,1.2728
31,35.487,0.73845
12,22.753,0.15376
65,36.322,3.5355
34,9.811,2.6842
81,4.3836,1.6635
117,19.1,1.7308
58,45.924,1.4338
152,20.248,3.6484
116,16.178,1.3589
93,15.656,0.5438
80,11.585,3.2525
121,3.0268,1.1542
29,3.8618,1.4941
31,14.299,3.912
23,44.776,3.5236
14,22.127,0.28569
77,0.93935,4.8215
92,27.346,4.7853
63,42.271,2.3404
9,24.006,3.5912
87,24.736,2.7306
42,16.595,2.6611
2,24.006,2.718
13,27.346,3.314
112,51.978,2.1076
41,41.332,3.5092
153,9.3935,3.6975
3,25.78,1.6383
78,1.7743,2.5399
84,23.797,4.7139
13,4.1749,1.0714
117,29.329,0.58908
137,45.506,1.2417
27,14.612,3.2286
6,33.712,0.79442
132,30.372,1.3645
85,3.9662,1.8507
137,24.632,0.70908
111,3.0268,1.7763
92,51.143,1.264
32,26.406,3.3281
133,46.446,4.6174
40,14.717,2.5869
145,42.897,3.3189
79,6.8886,0.94761
158,49.055,1.208
58,18.996,2.4593
37,30.999,4.4183
188,31.625,1.6956
102,20.04,3.776
54,49.159,3.6243
21,5.9492,0.39748
28,24.528,1.063
198,12.42,2.2001
141,29.433,1.3772
80,22.231,2.267
79,37.261,3.4682
4,28.076,4.8162
161,33.399,1.0497
170,30.79,3.5159
143,42.584,1.4437
56,6.7842,1.6916
69,17.326,1.417
53,15.134,4.4713
110,37.052,1.7376
117,26.406,4.5851
115,48.638,1.6283
114,30.79,4.5338
24,52.082,4.5897
131,20.561,2.8022
168,4.3836,3.4972
111,45.506,4.5593
89,19.1,4.633
173,28.389,2.0568
73,24.632,4.2694
54,4.0705,2.3849
180,45.924,3.7345
117,24.423,0.81325
58,36.948,2.3532
180,42.688,4.8927
154,24.945,1.582
169,18.474,3.519
179,7.3061,1.3982
135,18.891,2.6343
90,1.8787,1.8175
39,5.2186,2.0572
46,43.21,3.3621
194,8.976,3.3666
186,41.123,3.6291
50,15.238,1.174
170,49.159,2.4624
82,7.3061,3.296
49,20.144,5.157
181,6.158,4.4279
41,2.6093,4.8315
126,36.635,4.078
162,13.882,4.5757
80,15.552,1.6109
146,16.595,1.4485
66,34.13,1.478
95,7.0973,0.87522
100,42.688,3.2478
184,26.719,3.6771
122,10.229,1.5588
198,11.585,1.4671
139,8.2454,0.77543
171,14.925,1.7081
160,7.3061,3.4747
15,3.1312,3.5082
188,32.669,3.628
10,1.5656,4.2098
137,47.698,4.3129
127,40.392,2.6283
145,22.649,1.7572
145,48.638,3.0765
92,3.653,2.4302
173,2.4006,-0.13204
87,27.867,4.3725
120,41.018,2.009
16,34.234,0.22449
34,12.525,1.489
30,8.3498,1.5913
179,40.914,1.4323
138,21.71,4.4168
82,17.326,4.5205
10,15.447,2.8635
161,47.072,3.1647
84,3.8618,0.28486
121,0.20875,3.4767
172,39.87,4.2238
192,34.234,4.2769
77,33.608,4.7206
126,49.055,3.7872
101,31.729,4.7676
151,19.726,4.391
41,23.379,3.5249
150,16.073,1.8316
152,28.076,1.3103
171,28.076,3.4464
170,33.712,4.4386
199,30.79,3.667
22,50.829,2.2169
73,44.776,4.6878
3,51.038,2.1053
29,0.62624,1.6972
86,34.652,3.2036
191,48.638,4.6266
155,31.834,1.5797
128,46.968,0.17208
179,34.86,2.4772
109,51.456,4.2343
44,2.9224,3.8833
150,5.2186,4.0592
158,28.076,2.6126
36,47.698,2.1512
186,10.855,2.5592
38,34.234,0.2583
43,5.4274,1.44
99,4.3836,1.247
2,44.567,4.5054
17,51.664,1.8859
122,21.918,4.1679
80,34.025,1.3432
49,8.6629,4.6471
139,11.794,3.3325
39,12.525,2.5217
147,46.863,4.3512
108,10.75,4.3406
143,41.645,4.4779
168,21.083,4.0352
68,47.281,4.1763
10,4.1749,2.5048
160,49.055,2.5476
176,30.999,3.6787
4,35.8,1.4534
193,28.911,2.215
25,8.2454,1.6811
98,48.429,1.4775
78,12.942,2.6149
116,39.453,3.736
51,33.608,1.279
150,39.14,3.3041
114,7.8279,0.43912
18,41.749,0.40068
106,12.942,3.464
135,51.038,1.583
83,24.319,4.114
19,17.952,4.7794
156,27.554,2.344
139,5.6361,1.4942
189,44.985,1.5994
65,5.323,4.7296
155,31.103,2.0781
166,2.2962,3.604
112,26.093,0.43847
76,43.21,1.2053
162,4.488,1.5469
110,13.464,1.4382
39,8.976,3.1529
177,16.282,4.6148
134,23.588,3.3157
115,28.181,1.2161
6,16.595,1.3736
